ChargingStationCode,OccupancyTime0(seconds),OccupancyTime1(seconds),OccupancyTime2(seconds),OccupancyTime3(seconds),OccupancyTime4(seconds),OccupancyTime5(seconds),OccupancyTime6(seconds),OccupancyTime7(seconds),OccupancyTime8(seconds),OccupancyTime9(seconds),OccupancyTime10(seconds),OccupancyTime11(seconds),OccupancyTime12(seconds),OccupancyTime13(seconds),OccupancyTime14(seconds),OccupancyTime15(seconds),OccupancyTime16(seconds),OccupancyTime17(seconds),OccupancyTime18(seconds),OccupancyTime19(seconds),OccupancyTime20(seconds),OccupancyTime21(seconds),OccupancyTime22(seconds),OccupancyTime23(seconds)
CS00,0.0,6585.18,6585.18,6585.18,6585.18,22535.49,23290.167129659778,26431.41,32996.412198645936,36938.06334691879,40935.48741556467,44827.37649336189,48477.35671162425,52178.294010332625,55035.668212222656,55035.668212222656,62121.10108633835,65465.489174621755,69389.5738994996,73443.26656293063,77066.0427738775,79558.12312481807,83637.05958454213,87469.73986542189
CS02,1985.2235631409999,7996.021965368625,10264.422375970016,15017.580297688399,18277.614417387813,22055.641982971894,25966.477402637713,29543.745030722795,33496.81336562783,36739.27624139043,41487.67532042718,45112.60279378184,48868.27412931983,51749.00027133202,55287.072720829216,58030.676394149166,61856.11271485887,65526.6979159419,69444.60254702411,73287.40570790242,77602.53982876582,80676.21973711121,83889.94929587576,87088.88956924806
CS04,3286.725737339583,7814.608719417688,9236.200266233736,15284.53008226787,18067.709638218483,21568.010598810946,25607.955468629283,28813.677818236505,33319.072070604365,37373.904699987856,41281.77161699079,44638.2175661664,48500.074425379724,52124.910233358765,54991.55260328535,58558.665432450114,62068.0898692902,65527.82563936156,69757.15797548475,73655.13647136172,77313.18299236547,80065.99628813869,83524.60137504063,87085.82842054532
CS06,3417.658947006112,7551.5360197297205,10543.982298772706,15011.715446892067,18009.821933808475,21714.6829261523,25255.736027758154,28730.574442456495,33610.83863379647,37071.34693247274,41270.755002331396,44822.615625376864,48567.12535408463,51392.78584603955,55330.68297941483,58647.951874410304,62083.33804313419,65486.73124365388,69740.24564384174,73678.36778346164,77545.61942084446,80469.39215750691,83979.40931820615,86740.55346768633
CS08,3971.3008087062444,8140.854984088235,11383.886513504356,14991.681003506463,17389.452659354643,22178.518102009468,25996.019856183102,28814.839236498035,33750.79623836825,37295.19243851092,41144.17908643469,44653.280117236114,48242.20092122614,52341.348219387415,54379.54828827275,58246.10313978066,61718.68031143643,65873.0803475302,69501.79529515727,73653.33543473875,77817.03157968757,80493.70910354806,84255.94355531121,87211.02694344324
CS20,4126.62288,6685.851199264303,10262.240210478982,13256.946532954436,18639.078194811747,21222.19510496269,25810.446905045388,28721.795026416723,33391.79518571397,37536.39769715756,40527.33714242949,44780.62090171157,48598.784213679595,51823.06709201533,54504.42066064145,58390.27734041089,61586.826180808566,65319.50473605389,69609.65527212078,72966.19391173987,77758.73676095111,80760.45259356452,83059.37520687043,87326.7022282551
CS22,3891.145704058186,8285.973081219108,11580.050398348949,15036.024221855165,18643.18938700766,22003.199568151445,26488.46440402379,29498.708126242687,33280.37145269345,36941.14419788212,40746.410941058304,45129.76595785361,48740.0059983945,51701.48802119325,55182.847728966626,58355.712595524,62192.00534772714,65659.66044613629,69555.89154910394,73504.88296093249,77923.1491148435,80814.38860452634,83814.70802416083,87494.2031330005
CS24,4194.613152526429,7638.34210229221,10768.166876772979,15517.681078855261,18240.569679084856,22440.41688396755,26116.549378127424,29211.0181172931,33452.93974637609,37305.22272294723,40801.770605726284,45137.075550553905,48471.2253593862,51667.28517420703,54976.57772458171,58990.2218882554,62045.75611922957,65594.51148603555,69391.75884365379,73492.32211910082,77521.40331270423,80999.1605437139,83891.09131299349,87414.14741089901
CS26,3827.7126904669594,8262.071135981536,10905.35834710431,15197.945640484806,18375.830085497033,21551.911773222146,25726.682466096026,29109.664217220714,33754.92809546222,37241.20047438407,41034.02063370352,44915.38795901595,48728.676589416296,52082.31467927327,55490.401694434666,58691.33285962567,62222.52371850489,65765.6674618194,69658.76447103861,73915.16192151236,77297.46996014909,80977.14192013316,84052.94704363636,87056.81604293783
CS28,3926.534163696536,8008.882779387402,10811.886126232368,15306.820105990984,18831.00960797714,22182.55710804401,25767.99884460685,29741.987404525164,33921.832562485164,37525.04611596183,40807.728829852196,44641.57836554323,48991.83589568869,51968.71940540328,55485.04658614427,58471.04286393331,62185.479582755106,65919.88079399898,69929.12683595848,73826.47991469727,77917.35542095601,81065.29515918822,84340.7815663509,87179.64493225337
CS40,3435.5900970652506,7367.079887895586,11449.858219312335,13570.312006782582,17933.34347203711,21942.36179800932,25860.196926950546,28741.098067594627,33603.6056372491,37248.246431007436,40424.812256375575,44301.46518896237,48793.81002417479,52010.791788064824,54784.48201531611,58184.241015651925,62154.68184800777,65229.87124194798,69302.75702453441,73402.05625310873,77630.78060795923,80709.21393338047,84036.77954371637,87025.48584883388
CS42,3945.591953305967,7858.877302911375,11416.145810648402,15279.279402344508,18650.983170287094,21950.28132749675,26318.413989547524,29689.035192449373,33659.03095519981,37469.60934203649,41123.40994535966,45307.143543569575,48257.36102307934,52427.18604114495,55280.91261097544,58611.325044554294,62012.77647644143,65548.9587761671,69477.87441459091,73512.09435013626,77744.41979525475,80561.13323261103,84318.2324457369,87455.14242985912
CS44,4348.597216488368,8143.141620152403,11142.555832638383,14660.06114104692,18564.739200612228,22233.09985781415,25834.903705817283,29733.627074517874,33658.12386946827,37211.5190997915,41590.0980883899,45244.46817393323,49020.41965278161,51918.555586092254,54897.686341439,58462.23123731199,62408.1364711978,66150.68118767331,69391.77540853231,73790.82165231336,77603.314652545,80558.84406725217,83633.22121325979,87386.73861544166
CS46,4037.318947351678,7683.186608364958,11108.829493116962,14828.623637090166,18613.539606518032,22260.84546035258,26074.86915131263,29856.86882363805,33547.85302582105,37488.1577667799,41322.17465532242,45356.0421598356,48344.33879987144,52184.74775312311,55566.93203696603,58636.74150636007,62070.67310102723,66186.68660973279,69823.37826309563,73837.78172323856,77584.29378520457,80900.11583968055,83747.17001808523,87752.09027125286
CS48,4068.204591833054,7615.816538209752,11560.196009533256,15287.382852701665,19183.640768736164,22472.885190809993,26289.356007485687,29273.386643428847,33927.04074339448,37579.59494061551,41649.700341639094,45195.426383305734,48976.48250646005,51716.16925367028,55493.69586322998,58425.680727245985,62535.954467863114,65658.50242937639,69728.71547279977,73503.43824741688,77925.3082085655,81035.71810654354,84271.73510084185,87529.236699291
CS60,3585.9273194788116,6983.806111657617,10785.065652089057,15181.754867401747,18365.921638685464,19845.824525767257,26026.91339918521,29671.549312620016,32861.2186171374,37010.36158652198,40900.017777625515,44534.54210509062,48902.482779994905,51262.121447773505,55310.48537516415,58212.47163754788,61599.3422696867,65924.67181318536,69929.28327713646,73163.8867445493,77417.94957609518,80452.66168672235,84105.17665960535,87005.80217916663
CS62,4608.225848456295,7650.753585941881,11673.02639597804,14971.168046757064,19046.798342136604,22064.005522484014,26166.088111174908,30057.887748923546,33170.43513449245,37635.73688363714,41521.43444059609,44849.45255129684,48876.07033319583,51847.83983045634,55086.34433104654,58725.316100091564,62124.12217317535,65617.9936761829,69743.02240281591,73554.55642117353,77800.02075748438,81368.36024347742,83664.2963292073,87518.05980319733
CS64,4401.2306611761105,8140.81805915444,11082.555815407091,15378.084190677559,18698.798098894284,22358.090078982314,25853.679410750763,29491.30263547433,33828.061320511275,37441.160306427315,41604.41963324787,44701.02264358344,48383.6943576637,52311.01947971316,55255.71326576718,58542.09352815188,62579.13773579578,65981.95456309269,69996.79727848394,73598.54066296942,78069.15712206489,80859.94903821875,84161.96985765538,87340.00442838274
CS66,4172.84901421203,7716.83420909037,11698.6745629093,15135.125098040593,19093.351415374,22389.075257499077,26024.533533859685,29809.211371886227,33749.4891736153,37470.5498928651,41431.73488261319,45280.708141182804,48727.57943874265,52089.332839917995,55705.99040424217,59008.33699257866,62557.25899018078,65848.76429273607,69319.10074419907,73926.74270711356,78118.75631414223,80573.16839027393,84012.66410059943,87644.93761614652
CS68,3798.106430744906,7901.903327959683,11379.440831697411,14317.283177585918,19162.897934295554,22440.61088964094,26159.255493721765,29368.53438971616,33730.730237409676,37148.85274224576,41758.104511419675,44940.724628490156,48533.63870274331,51952.802339278045,55639.88672618984,58417.06359390257,62307.49680071014,64939.8628203953,69922.72342507342,73415.97667399651,77962.08956250861,80990.34859477627,84384.49537709114,87843.01969486788
CS80,3915.864627533011,6847.709814083252,11246.637597203711,14401.45209075005,18332.049680758275,21561.488096860507,26233.87643711784,29215.936653079894,33055.346220891704,36926.79280309444,41041.76888575626,44592.83965414779,48589.328380597246,51834.750797997396,54968.142397569754,58765.84132813507,62103.011222424335,65488.8056614792,68940.4233230304,72881.14884939702,77329.98519438133,81149.2815153879,83737.4486254061,87161.50522296727
CS82,4474.531990808339,7481.836925225235,11084.17686205226,15348.970547724504,18785.305462669294,22384.31929329953,26129.610831934955,29834.26346085047,33137.87223743804,37198.90987588889,41445.916847256995,44943.83693947683,48395.14507226358,51947.442343287905,55301.37022094109,58670.2035983304,62215.76899803983,65394.9274446589,69300.06833872419,73395.15602824405,77756.2373001609,80635.02531836173,84031.45932124177,87143.99594345919
CS84,4507.748378055896,8160.690808895816,11234.90040712294,14434.213628493375,18738.245005374316,22707.605429395135,25887.96851591616,29508.488956482328,33655.57367766569,37777.79761446412,41827.02899279191,45367.14799037986,49199.33347175785,52222.87378450566,55570.27693186696,58565.97355320564,62482.03460088595,66054.50735875292,70011.56040248049,74035.71204677403,77956.91063170972,81202.69868057761,84493.12639428071,86874.59192660481
CS86,4589.285034391508,7576.414320310649,11147.86497716527,15004.82908166765,18992.59817114348,22339.713194389395,25745.70310537305,29777.269897196453,33996.399847392895,37510.57363606662,41363.126068526006,45236.31363961406,48799.68667612547,52235.89961317189,55388.740425344135,58638.95456064261,62433.53477701773,65716.72049948487,69694.4219617421,73633.84111345504,77829.76206522743,81038.73401648802,83782.77970480858,87711.92273799001
CS88,4574.190939785565,7997.140347910847,11764.712335799128,15206.848224058676,18935.352793971568,22563.23386735631,25573.312315500443,29592.880806754376,33274.43229930078,37550.128613427754,41410.31745698771,45301.60755343228,48894.161353555624,52270.13847258284,55754.297472270206,58607.93102740821,62421.83256837378,65660.04069809127,69967.24848321604,73854.65271731134,77283.61073313965,80426.87693211157,83178.60581695476,87743.3576613238
